"timeStamp","surroundings_IR_Left","surroundings_IR_Right","surroundings_UltraSonic","pose2D_x","pose2D_y","pose2D_theta","pose2D_linearVelocity","pose2D_angularVelocity","baseTick_left","baseTick_right","wheelSpeed_SpeedLeft","wheelSpeed_SpeedRight","headPoseWorld_roll","headPoseWorld_pitch","headPoseWorld_yaw","headPoseJoint_roll","headPoseJoint_pitch","headPoseJoint_yaw","baseImu_roll","baseImu_pitch","baseImu_yaw","fishEyeTf_tx","fishEyeTf_ty","fishEyeTf_tz","fishEyeTf_roll","fishEyeTf_pitch","fishEyeTf_yaw","colorTf_tx","colorTf_ty","colorTf_tz","colorTf_roll","colorTf_pitch","colorTf_yaw","depthTf_tx","depthTf_ty","depthTf_tz","depthTf_roll","depthTf_pitch","depthTf_yaw","fishEyeIndex","colorIndex","depthIndex"
"1589396821289","1145","1282","1500","-6.206344","2.9318066","-1.8241279","-0.042364053","0.022134868","13486","13719","-223.0","-176.0","-0.001342561","0.88196665","0.0","0.0","0.8548277","0.072690085","-0.006231987","8.628905E-4","-0.10239634","-0.05630456","-0.045123897","-0.52911","-0.07258478","-0.005066369","-0.0104121","-0.05630456","0.042926103","-0.52911","-0.07258478","-0.005066369","-0.0104121","-0.05630456","-0.015513896","-0.52911","-0.07258478","-0.005066369","-0.0104121","6329482815620","0","6329481665520"
"1589396821298","1145","1282","1500","-6.206344","2.9318066","-1.8241279","-0.042364053","0.022134868","13486","13719","-223.0","-176.0","-0.001342561","0.88196665","0.0","0.0","0.8548277","0.072690085","-0.0061361105","8.628905E-4","-0.10239634","-0.05630456","-0.045123897","-0.52911","-0.07258478","-0.005066369","-0.0104121","-0.05630456","0.042926103","-0.52911","-0.07258478","-0.005066369","-0.0104121","-0.05630456","-0.015513896","-0.52911","-0.07258478","-0.005066369","-0.0104121","6329482815620","0","6329481665520"
"1589396821303","1145","1282","1500","-6.206344","2.9318066","-1.8241279","-0.042364053","0.022134868","13486","13719","-223.0","-176.0","-0.0012466637","0.88187075","0.0","0.0","0.8548277","0.07355316","-0.0061361105","8.628905E-4","-0.10239634","-0.056304336","-0.04512081","-0.52911","-0.07281506","-0.0050687646","-0.010410934","-0.056304336","0.04292919","-0.52911","-0.07281506","-0.0050687646","-0.010410934","-0.056304336","-0.015510808","-0.52911","-0.07281506","-0.0050687646","-0.010410934","6329482815620","0","6358178258260"
"1589396821318","1145","1282","1500","-6.206344","2.9318066","-1.8241279","-0.042364053","0.022134868","13485","13719","-223.0","-176.0","-0.0012466637","0.88187075","0.0","0.0","0.8548277","0.07355316","-0.0061361105","8.628905E-4","-0.10239634","-0.056304336","-0.04512081","-0.52911","-0.07281506","-0.0050687646","-0.010410934","-0.056304336","0.04292919","-0.52911","-0.07281506","-0.0050687646","-0.010410934","-0.056304336","-0.015510808","-0.52911","-0.07281506","-0.0050687646","-0.010410934","6329482815620","0","6358178258260"
"1589396821339","1145","1282","1500","-6.2052703","2.9361258","-1.8048246","-0.04702883","0.05852794","13485","13719","-253.0","-176.0","-0.0012466637","0.88187075","0.0","0.0","0.8548277","0.07355316","-0.0060402337","7.670138E-4","-0.103163354","-0.056303483","-0.045109227","-0.52911","-0.07367923","-0.004879388","-0.01057112","-0.056303483","0.042940773","-0.52911","-0.07367923","-0.004879388","-0.01057112","-0.056303483","-0.015499224","-0.52911","-0.07367923","-0.004879388","-0.01057112","6358212317991","0","6358178258260"
"1589396821348","1145","1282","1500","-6.2052703","2.9361258","-1.8048246","-0.04702883","0.05852794","13485","13719","-253.0","-176.0","-0.0011507665","0.88215846","0.0","0.0","0.8548277","0.07355316","-0.0060402337","7.670138E-4","-0.103163354","-0.056303483","-0.045109227","-0.52911","-0.07367923","-0.004879388","-0.01057112","-0.056303483","0.042940773","-0.52911","-0.07367923","-0.004879388","-0.01057112","-0.056303483","-0.015499224","-0.52911","-0.07367923","-0.004879388","-0.01057112","6358212317991","0","6358211168232"
"1589396821358","1145","1282","1500","-6.2052703","2.9361258","-1.8048246","-0.04702883","0.05852794","13485","13719","-253.0","-176.0","-0.0011507665","0.88215846","0.0","0.0","0.8548277","0.07374495","-0.0060402337","7.670138E-4","-0.103163354","-0.05630359","-0.04511067","-0.52911","-0.07357178","-0.0048782527","-0.010571643","-0.05630359","0.04293933","-0.52911","-0.07357178","-0.0048782527","-0.010571643","-0.05630359","-0.015500666","-0.52911","-0.07357178","-0.0048782527","-0.010571643","6358212317991","0","6358211168232"
"1589396821368","1142","1289","1500","-6.2052703","2.9361258","-1.8048246","-0.04702883","0.05852794","13485","13719","-253.0","-176.0","-0.0011507665","0.88215846","0.0","0.0","0.8548277","0.07374495","-0.0060402337","7.670138E-4","-0.103163354","-0.05630359","-0.04511067","-0.52911","-0.07357178","-0.0048782527","-0.010571643","-0.05630359","0.04293933","-0.52911","-0.07357178","-0.0048782527","-0.010571643","-0.05630359","-0.015500666","-0.52911","-0.07357178","-0.0048782527","-0.010571643","6358212317991","0","6358244077987"
"1589396821378","1142","1289","1500","-6.2052703","2.9361258","-1.8048246","-0.04702883","0.05852794","13485","13719","-253.0","-176.0","-0.0011507665","0.88215846","0.0","0.0","0.8548277","0.07374495","-0.0060402337","8.628905E-4","-0.104218","-0.05630359","-0.04511067","-0.52911","-0.07357178","-0.0048782527","-0.010571643","-0.05630359","0.04293933","-0.52911","-0.07357178","-0.0048782527","-0.010571643","-0.05630359","-0.015500666","-0.52911","-0.07357178","-0.0048782527","-0.010571643","6358212317991","0","6358244077987"
"1589396821386","1142","1289","1500","-6.2052703","2.9361258","-1.8048246","-0.042325944","0.052675147","13485","13719","-253.0","-176.0","-0.0011507665","0.88215846","0.0","0.0","0.8553072","0.07374495","-0.0060402337","8.628905E-4","-0.104218","-0.0563034","-0.045108095","-0.52911","-0.073763885","-0.0049367673","-0.010517955","-0.0563034","0.042941906","-0.52911","-0.073763885","-0.0049367673","-0.010517955","-0.0563034","-0.0154980915","-0.52911","-0.073763885","-0.0049367673","-0.010517955","6358212317991","0","6358244077987"
"1589396821395","1142","1289","1500","-6.2052703","2.9361258","-1.8048246","-0.042325944","0.052675147","13485","13719","-253.0","-176.0","-8.630749E-4","0.8824461","0.0","0.0","0.8553072","0.07374495","-0.0060402337","8.628905E-4","-0.104218","-0.0563034","-0.045108095","-0.52911","-0.073763885","-0.0049367673","-0.010517955","-0.0563034","0.042941906","-0.52911","-0.073763885","-0.0049367673","-0.010517955","-0.0563034","-0.0154980915","-0.52911","-0.073763885","-0.0049367673","-0.010517955","6358212317991","0","6358244077987"
"1589396821410","1142","1289","1500","-6.2052703","2.9361258","-1.8048246","-0.042325944","0.052675147","13485","13719","-253.0","-176.0","-8.630749E-4","0.8824461","0.0","0.0","0.8553072","0.06779933","-0.0060402337","8.628905E-4","-0.104218","-0.05630437","-0.045121275","-0.52911","-0.072781324","-0.004926439","-0.010522796","-0.05630437","0.042928725","-0.52911","-0.072781324","-0.004926439","-0.010522796","-0.05630437","-0.015511271","-0.52911","-0.072781324","-0.004926439","-0.010522796","6358212317991","6358178258260","6358276988269"
"1589396821420","1142","1289","1500","-6.2052703","2.9361258","-1.8048246","-0.042325944","0.052675147","13484","13719","-290.0","-176.0","-8.630749E-4","0.8824461","0.0","0.0","0.8553072","0.06779933","-0.0060402337","8.628905E-4","-0.104218","-0.05630437","-0.045121275","-0.52911","-0.072781324","-0.004926439","-0.010522796","-0.05630437","0.042928725","-0.52911","-0.072781324","-0.004926439","-0.010522796","-0.05630437","-0.015511271","-0.52911","-0.072781324","-0.004926439","-0.010522796","6358212317991","6358178258260","6358276988269"
